Timestamp,Machine_Name,reg_address,value
14:15:18:683,AM323,IO_0500,0000
14:15:18:686,AM323,IO_0501,0000
14:15:18:689,AM323,IO_0502,9000
14:15:18:692,AM323,IO_0503,0000
14:15:18:695,AM323,IO_0504,0000
14:15:18:700,AM323,IO_0505,0040
14:15:18:704,AM323,IO_0506,0000
14:15:18:707,AM323,IO_0507,0001
14:15:18:710,AM323,IO_0508,0000
14:15:18:713,AM323,IO_0509,0000
14:15:18:716,AM323,IO_0510,0044
14:15:18:718,AM323,IO_0511,0000
14:15:18:721,AM323,IO_0512,0000
14:15:18:724,AM323,IO_0513,0000
14:15:18:727,AM323,IO_0514,0000
14:15:18:730,AM323,IO_0515,0000
14:15:18:733,AM323,IO_0516,0000
14:15:18:738,AM323,IO_0517,0000
14:15:18:742,AM323,IO_0518,0000
14:15:18:744,AM323,IO_0519,0000
14:15:18:757,AM323,IO_0520,0000
14:15:18:759,AM323,IO_0521,0000
14:15:18:762,AM323,IO_0522,0000
14:15:18:764,AM323,IO_0523,0000
14:15:18:767,AM323,IO_0524,0000
14:15:18:769,AM323,IO_0525,0000
14:15:18:772,AM323,IO_0526,0000
14:15:18:774,AM323,IO_0527,0000
14:15:18:777,AM323,IO_0528,0000
14:15:18:781,AM323,IO_0529,0000
14:15:18:784,AM323,IO_0530,0000
14:15:18:787,AM323,IO_0531,0000
14:15:18:789,AM323,IO_0532,0000
14:15:18:792,AM323,IO_0533,0000
14:15:18:794,AM323,IO_0534,0000
14:15:18:797,AM323,IO_0535,0000
14:15:18:800,AM323,IO_0536,0000
14:15:18:802,AM323,IO_0537,0000
14:15:18:805,AM323,IO_0538,0000
14:15:18:807,AM323,IO_0539,0000
14:15:18:811,AM323,IO_0540,0000
14:15:18:814,AM323,IO_0541,0000
14:15:18:816,AM323,IO_0542,0000
14:15:18:819,AM323,IO_0543,0000
14:15:18:821,AM323,IO_0544,0000
14:15:18:824,AM323,IO_0545,0000
14:15:18:826,AM323,IO_0546,0000
14:15:18:830,AM323,IO_0547,0000
14:15:18:832,AM323,IO_0548,0000
14:15:18:835,AM323,IO_0549,0000
14:15:18:838,AM323,IO_0550,0000
14:15:18:842,AM323,IO_0551,0000
14:15:18:845,AM323,IO_0552,0000
14:15:18:848,AM323,IO_0553,0000
14:15:18:850,AM323,IO_0554,0000
14:15:18:852,AM323,IO_0555,0000
14:15:18:855,AM323,IO_0556,0000
14:15:18:857,AM323,IO_0557,0000
14:15:18:860,AM323,IO_0558,0000
14:15:18:862,AM323,IO_0559,0000
14:15:18:866,AM323,IO_0560,0000
14:15:18:868,AM323,IO_0561,0000
14:15:18:870,AM323,IO_0562,0000
14:15:18:873,AM323,IO_0563,0000
14:15:18:875,AM323,IO_0564,0000
14:15:18:878,AM323,IO_0565,0000
14:15:18:880,AM323,IO_0566,0000
14:15:18:883,AM323,IO_0567,0000
14:15:18:885,AM323,IO_0568,0000
14:15:18:888,AM323,IO_0569,0000
14:15:18:890,AM323,IO_0570,0000
14:15:18:892,AM323,IO_0571,0000
14:15:18:895,AM323,IO_0572,0000
14:15:18:897,AM323,IO_0573,0000
14:15:18:899,AM323,IO_0574,0000
14:15:18:902,AM323,IO_0575,0000
14:15:18:904,AM323,IO_0576,0000
14:15:18:906,AM323,IO_0577,0000
14:15:18:909,AM323,IO_0578,0000
14:15:18:911,AM323,IO_0579,0000
14:15:18:915,AM323,IO_0580,0100
14:15:18:917,AM323,IO_0581,0000
14:15:18:920,AM323,IO_0582,0000
14:15:18:924,AM323,IO_0583,0000
14:15:18:927,AM323,IO_0584,0000
14:15:18:929,AM323,IO_0585,0000
14:15:18:932,AM323,IO_0586,0000
14:15:18:935,AM323,IO_0587,0000
14:15:18:937,AM323,IO_0588,0000
14:15:18:940,AM323,IO_0589,0000
14:15:18:942,AM323,IO_0590,0000
14:15:18:945,AM323,IO_0591,0000
14:15:18:947,AM323,IO_0592,0000
14:15:18:959,AM323,IO_0593,0000
14:15:18:962,AM323,IO_0594,0000
14:15:18:966,AM323,IO_0595,0000
14:15:18:969,AM323,IO_0596,0010
14:15:18:972,AM323,IO_0597,0000
14:15:18:975,AM323,IO_0598,0000
14:15:18:978,AM323,D_31600,0000
14:15:18:983,AM323,D_31601,0918
14:15:18:986,AM323,D_31602,0BB9
14:15:18:989,AM323,D_31603,1388
14:15:18:993,AM323,D_31604,05DC
14:15:18:996,AM323,D_31605,0000
14:15:18:999,AM323,D_31606,0211
14:15:19:003,AM323,D_31607,00C1
14:15:19:006,AM323,D_31608,07EB
14:15:19:009,AM323,D_31609,0834
14:15:19:012,AM323,D_31610,079E
14:15:19:015,AM323,D_31611,0000
14:15:19:018,AM323,D_31612,0000
14:15:19:021,AM323,D_31613,139D
14:15:19:024,AM323,D_31614,0002
14:15:19:028,AM323,D_31615,0164
14:15:19:031,AM323,D_31616,000D
14:15:19:034,AM323,D_31617,0161
14:15:19:037,AM323,D_31618,FFFE
14:15:19:041,AM323,D_31619,00FD
14:15:19:044,AM323,D_31620,0D33
14:15:19:048,AM323,D_31621,0BD2
14:15:19:052,AM323,D_31622,0202
14:15:19:055,AM323,D_31623,07E6
14:15:19:062,AM323,D_31625,0000
14:15:19:065,AM323,D_31626,0000
14:15:19:068,AM323,D_31627,0000
14:15:19:071,AM323,D_31628,0000
14:15:19:074,AM323,D_31629,0000
14:15:19:077,AM323,D_31630,0000
14:15:19:080,AM323,D_31631,0000
14:15:19:084,AM323,D_31632,0000
14:15:19:087,AM323,D_31633,0000
14:15:19:090,AM323,D_31634,0000
14:15:19:094,AM323,D_31635,0000
14:15:19:097,AM323,D_31636,0000
14:15:19:103,AM323,D_31638,0000
14:15:19:106,AM323,D_31639,0000
14:15:19:109,AM323,D_31640,0000
14:15:19:114,AM323,D_31641,0000
14:15:19:124,AM323,D_31644,0000
14:15:19:127,AM323,D_31645,0000
14:15:19:130,AM323,D_31646,0000
14:15:19:133,AM323,D_31647,0000
14:15:19:136,AM323,D_31648,0000
14:15:19:140,AM323,D_31649,0000
14:15:19:147,AM323,D_31651,0002
14:15:19:150,AM323,D_31652,0002
14:15:19:153,AM323,D_31653,0002
14:15:19:157,AM323,D_31654,0002
14:15:19:159,AM323,D_31655,0002
14:15:19:162,AM323,D_31656,0002
14:15:19:165,AM323,D_31657,0002
14:15:19:168,AM323,D_31658,0002
14:15:19:172,AM323,D_31659,0002
14:15:19:176,AM323,D_31660,0002
14:15:19:181,AM323,D_31661,0002
14:15:19:184,AM323,D_31662,0000
14:15:19:187,AM323,D_31663,0000
14:15:19:190,AM323,D_31664,0002
14:15:19:194,AM323,D_31665,0002
14:15:19:200,AM323,D_31667,0000
14:15:19:203,AM323,D_31668,0000
14:15:19:207,AM323,D_31669,0000
14:15:19:210,AM323,D_31670,0000
14:15:19:217,AM323,D_31672,0000
14:15:19:220,AM323,D_31673,0000
14:15:19:222,AM323,D_31674,0000
14:15:19:225,AM323,D_31675,0000
14:15:19:228,AM323,D_31676,0000
14:15:19:232,AM323,D_31677,0000
14:15:19:235,AM323,D_31678,0000
14:15:19:238,AM323,D_31679,0000
14:15:19:242,AM323,D_31680,0000
14:15:19:247,AM323,D_31681,0000
14:15:19:250,AM323,D_31682,0000
14:15:19:257,AM323,D_31684,0000
14:15:19:260,AM323,D_31685,0000
14:15:19:267,AM323,D_31687,0000
14:15:19:270,AM323,D_31688,0000
14:15:19:274,AM323,D_31689,0000
14:15:19:277,AM323,D_31690,0000
14:15:19:280,AM323,D_31691,0000
14:15:19:282,AM323,D_31692,0000
14:15:19:288,AM323,D_31694,0000
14:15:19:292,AM323,D_31695,0000
14:15:19:295,AM323,D_31696,0000
14:15:19:305,AM323,D_31699,0000
14:15:19:314,AM323,D_31701,0000
14:15:19:317,AM323,D_31702,0000
14:15:19:320,AM323,D_31703,0000
14:15:19:323,AM323,D_31704,0000
14:15:19:326,AM323,D_31705,0000
14:15:19:333,AM323,D_31707,0000
14:15:19:339,AM323,D_31709,0000
14:15:19:342,AM323,D_31710,0000
14:15:19:348,AM323,D_31712,0000
14:15:19:355,AM323,D_31714,0000
14:15:19:358,AM323,D_31715,0000
14:15:19:362,AM323,D_31716,0000
14:15:19:365,AM323,D_31717,0000
14:15:19:368,AM323,D_31718,0000
14:15:19:371,AM323,D_31719,0000
14:15:19:380,AM323,D_31721,0000
14:15:19:387,AM323,D_31723,0000
14:15:19:390,AM323,D_31724,0000
14:15:19:394,AM323,D_31725,0000
14:15:19:402,AM323,D_31726,0000
14:15:19:411,AM323,D_31729,0000
14:15:19:414,AM323,D_31730,0000
14:15:19:418,AM323,D_31731,0000
14:15:19:435,AM323,D_31734,0000
14:15:19:438,AM323,D_31735,0000
14:15:19:441,AM323,D_31736,0000
14:15:19:447,AM323,D_31738,0000
14:15:19:458,AM323,D_31741,0000
14:15:19:461,AM323,D_31742,0000
14:15:19:463,AM323,D_31743,0000
14:15:19:469,AM323,D_31745,0000
14:15:19:473,AM323,D_31746,0000
14:15:19:476,AM323,D_31747,0000
14:15:19:483,AM323,D_31749,0000
14:15:19:486,AM323,D_31750,0000
14:15:19:493,AM323,D_31752,13A2
14:15:19:496,AM323,D_31753,0000
14:15:19:502,AM323,D_31755,0000
14:15:19:508,AM323,D_31757,0000
14:15:19:512,AM323,D_31758,0000
14:15:19:524,AM323,D_31761,0000
14:15:19:527,AM323,D_31762,0000
14:15:19:530,AM323,D_31763,0000
14:15:19:540,AM323,D_31766,0000
14:15:19:543,AM323,D_31767,0000
14:15:19:550,AM323,D_31769,0000
14:15:19:556,AM323,D_31771,0000
14:15:19:565,AM323,D_31774,0000
14:15:19:568,AM323,D_31775,0000
14:15:19:572,AM323,D_31776,0000
14:15:19:585,AM323,D_31780,0000
14:15:19:590,AM323,D_31781,0000
14:15:19:594,AM323,D_31782,0000
14:15:19:600,AM323,D_31784,0000
14:15:19:603,AM323,D_31785,0000
14:15:19:607,AM323,D_31786,0000
14:15:19:610,AM323,D_31787,0000
14:15:19:616,AM323,D_31789,0000
14:15:19:619,AM323,D_31790,0000
14:15:19:622,AM323,D_31791,0000
14:15:19:629,AM323,D_31793,0000
14:15:19:632,AM323,D_31794,0000
14:15:19:635,AM323,D_31795,0000
14:15:19:642,AM323,D_31797,0000
14:15:19:651,AM323,D_31800,0000
14:15:19:657,AM323,D_31801,0000
14:15:19:660,AM323,D_31802,0000
14:15:19:664,AM323,D_31803,0000
14:15:19:667,AM323,D_31804,0000
14:15:19:674,AM323,D_31806,0000
14:15:19:677,AM323,D_31807,0000
14:15:19:683,AM323,D_31809,0000
14:15:19:686,AM323,D_31810,0000
14:15:19:689,AM323,D_31811,0000
14:15:19:693,AM323,D_31812,0000
14:15:19:696,AM323,D_31813,0000
14:15:19:709,AM323,D_31817,0000
14:15:19:715,AM323,D_31819,0000
14:15:19:718,AM323,D_31820,0000
14:15:19:735,AM323,D_31824,0000
14:15:19:746,AM323,D_31827,0000
14:15:19:749,AM323,D_31828,0000
14:15:19:765,AM323,D_31833,0000
14:15:19:768,AM323,D_31834,0000
14:15:19:771,AM323,D_31835,0000
14:15:19:780,AM323,D_31838,0000
14:15:19:792,AM323,D_31841,0000
14:15:19:795,AM323,D_31842,0000
