"日付","設備ユニット","設備機番","勤務日付軸","昼夜勤","生産時間帯","時間体制","作業者","実績コード","実績内容","ON/OFF","実績時間"
"2025/11/27 14:26:53","10-1719","AM-271","2025/11/27","昼勤","15:20","通常時間","0",100,"設備稼働","off",120.6
"2025/11/27 14:27:06","10-1719","AM-271","2025/11/27","昼勤","15:20","通常時間","0",111,"運転中異常","off",28.3
"2025/11/27 14:27:08","10-1719","AM-271","2025/11/27","昼勤","15:20","通常時間","0",100,"設備稼働","on",0
"2025/11/27 14:27:25","10-1719","AM-271","2025/11/27","昼勤","15:20","通常時間","0",111,"運転中異常","on",0
"2025/11/27 14:27:38","10-1719","AM-271","2025/11/27","昼勤","15:20","通常時間","0",100,"設備稼働","off",29.3
"2025/11/27 14:27:53","10-1719","AM-271","2025/11/27","昼勤","15:20","通常時間","0",111,"運転中異常","off",27.5
"2025/11/27 14:27:55","10-1719","AM-271","2025/11/27","昼勤","15:20","通常時間","0",100,"設備稼働","on",0
"2025/11/27 14:28:12","10-1719","AM-271","2025/11/27","昼勤","15:20","通常時間","0",111,"運転中異常","on",0
"2025/11/27 14:28:36","10-1719","AM-271","2025/11/27","昼勤","15:20","通常時間","0",100,"設備稼働","off",41.3
"2025/11/27 14:28:40","10-1719","AM-271","2025/11/27","昼勤","15:20","通常時間","0",111,"運転中異常","off",27.9
"2025/11/27 14:28:42","10-1719","AM-271","2025/11/27","昼勤","15:20","通常時間","0",100,"設備稼働","on",0
"2025/11/27 14:29:28","10-1719","AM-271","2025/11/27","昼勤","15:20","通常時間","0",111,"運転中異常","on",0
"2025/11/27 14:29:43","10-1719","AM-271","2025/11/27","昼勤","15:20","通常時間","0",100,"設備稼働","off",60.5
"2025/11/27 14:29:56","10-1719","AM-271","2025/11/27","昼勤","15:20","通常時間","0",111,"運転中異常","off",27.8
"2025/11/27 14:29:58","10-1719","AM-271","2025/11/27","昼勤","15:20","通常時間","0",100,"設備稼働","on",0
"2025/11/27 14:32:03","10-1719","AM-271","2025/11/27","昼勤","15:20","通常時間","0",111,"運転中異常","on",0
"2025/11/27 14:32:21","10-1719","AM-271","2025/11/27","昼勤","15:20","通常時間","0",100,"設備稼働","off",142.6
"2025/11/27 14:32:25","10-1719","AM-271","2025/11/27","昼勤","15:20","通常時間","0",111,"運転中異常","off",21.2
"2025/11/27 14:32:27","10-1719","AM-271","2025/11/27","昼勤","15:20","通常時間","0",100,"設備稼働","on",0
"2025/11/27 14:33:13","10-1719","AM-271","2025/11/27","昼勤","15:20","通常時間","0",111,"運転中異常","on",0
"2025/11/27 14:33:55","10-1719","AM-271","2025/11/27","昼勤","15:20","通常時間","0",100,"設備稼働","off",88.3
"2025/11/27 14:34:01","10-1719","AM-271","2025/11/27","昼勤","15:20","通常時間","0",111,"運転中異常","off",48.2
"2025/11/27 14:34:03","10-1719","AM-271","2025/11/27","昼勤","15:20","通常時間","0",100,"設備稼働","on",0
"2025/11/27 14:39:25","10-1719","AM-271","2025/11/27","昼勤","15:20","通常時間","0",111,"運転中異常","on",0
"2025/11/27 14:39:41","10-1719","AM-271","2025/11/27","昼勤","15:20","通常時間","0",100,"設備稼働","off",337.8
"2025/11/27 14:39:49","10-1719","AM-271","2025/11/27","昼勤","15:20","通常時間","0",111,"運転中異常","off",24.2
"2025/11/27 14:39:50","10-1719","AM-271","2025/11/27","昼勤","15:20","通常時間","0",100,"設備稼働","on",0
"2025/11/27 14:40:43","10-1719","AM-271","2025/11/27","昼勤","15:20","通常時間","0",112,"カンバン有","off",1276.9
"2025/11/27 14:40:43","10-1719","AM-271","2025/11/27","昼勤","15:20","通常時間","0",112,"カンバン有","on",0
"2025/11/27 14:41:16","10-1719","AM-271","2025/11/27","昼勤","15:20","通常時間","0",100,"設備稼働","off",85.4
"2025/11/27 15:20:00","10-1719","AM-271","2025/11/27","昼勤","15:20","通常時間","0",112,"カンバン有","off",2356.3
"2025/11/27 15:20:00","10-1719","AM-271","2025/11/27","昼勤","15:20","通常時間","0",112,"カンバン有","on",0
"2025/11/27 16:20:00","10-1719","AM-271","2025/11/27","昼勤","16:20","通常時間","0",112,"カンバン有","off",3600
"2025/11/27 16:20:00","10-1719","AM-271","2025/11/27","昼勤","16:20","通常時間","0",112,"カンバン有","on",0
"2025/11/27 17:20:00","10-1719","AM-271","2025/11/27","昼勤","17:20","通常時間","0",112,"カンバン有","off",3600
"2025/11/27 17:20:00","10-1719","AM-271","2025/11/27","昼勤","17:20","通常時間","0",112,"カンバン有","on",0
"2025/11/27 18:20:00","10-1719","AM-271","2025/11/27","昼勤","18:20","通常時間","0",112,"カンバン有","off",3600
"2025/11/27 18:20:00","10-1719","AM-271","2025/11/27","昼勤","18:20","通常時間","0",112,"カンバン有","on",0
"2025/11/27 19:20:00","10-1719","AM-271","2025/11/27","昼勤","19:20","通常時間","0",112,"カンバン有","off",3600
"2025/11/27 19:20:00","10-1719","AM-271","2025/11/27","昼勤","19:20","通常時間","0",112,"カンバン有","on",0
"2025/11/27 19:21:00","10-1719","AM-271","2025/11/27","夜勤","20:20","通常時間","0",112,"カンバン有","off",60
"2025/11/27 19:21:00","10-1719","AM-271","2025/11/27","夜勤","20:20","通常時間","0",112,"カンバン有","on",0
"2025/11/27 19:26:33","10-1719","AM-271","2025/11/27","夜勤","20:20","通常時間","0",100,"設備稼働","on",0
"2025/11/27 19:26:55","10-1719","AM-271","2025/11/27","夜勤","20:20","通常時間","0",111,"運転中異常","on",0
"2025/11/27 19:27:03","10-1719","AM-271","2025/11/27","夜勤","20:20","通常時間","0",100,"設備稼働","off",30.2
"2025/11/27 19:27:29","10-1719","AM-271","2025/11/27","夜勤","20:20","通常時間","0",100,"設備稼働","on",0
"2025/11/27 19:27:46","10-1719","AM-271","2025/11/27","夜勤","20:20","通常時間","0",100,"設備稼働","off",16.6
"2025/11/27 19:28:05","10-1719","AM-271","2025/11/27","夜勤","20:20","通常時間","0",111,"運転中異常","off",70
"2025/11/27 20:20:00","10-1719","AM-271","2025/11/27","夜勤","20:20","通常時間","0",112,"カンバン有","off",3540
"2025/11/27 20:20:00","10-1719","AM-271","2025/11/27","夜勤","20:20","通常時間","0",112,"カンバン有","on",0
"2025/11/27 21:20:00","10-1719","AM-271","2025/11/27","夜勤","21:20","通常時間","0",112,"カンバン有","off",3600
"2025/11/27 21:20:00","10-1719","AM-271","2025/11/27","夜勤","21:20","通常時間","0",112,"カンバン有","on",0
"2025/11/27 22:20:00","10-1719","AM-271","2025/11/27","夜勤","22:20","通常時間","0",112,"カンバン有","off",3600
"2025/11/27 22:20:00","10-1719","AM-271","2025/11/27","夜勤","22:20","通常時間","0",112,"カンバン有","on",0
"2025/11/27 23:20:00","10-1719","AM-271","2025/11/27","夜勤","23:20","通常時間","0",112,"カンバン有","off",3600
"2025/11/27 23:20:00","10-1719","AM-271","2025/11/27","夜勤","23:20","通常時間","0",112,"カンバン有","on",0
"2025/11/28 01:20:00","10-1719","AM-271","2025/11/27","夜勤","01:20","通常時間","0",112,"カンバン有","off",7200
"2025/11/28 01:20:00","10-1719","AM-271","2025/11/27","夜勤","01:20","通常時間","0",112,"カンバン有","on",0
"2025/11/28 02:20:00","10-1719","AM-271","2025/11/27","夜勤","02:20","通常時間","0",112,"カンバン有","off",3600
"2025/11/28 02:20:00","10-1719","AM-271","2025/11/27","夜勤","02:20","通常時間","0",112,"カンバン有","on",0
"2025/11/28 03:20:00","10-1719","AM-271","2025/11/27","夜勤","03:20","通常時間","0",112,"カンバン有","off",3600
"2025/11/28 03:20:00","10-1719","AM-271","2025/11/27","夜勤","03:20","通常時間","0",112,"カンバン有","on",0
"2025/11/28 04:20:00","10-1719","AM-271","2025/11/27","夜勤","04:20","通常時間","0",112,"カンバン有","off",3600
"2025/11/28 04:20:00","10-1719","AM-271","2025/11/27","夜勤","04:20","通常時間","0",112,"カンバン有","on",0
"2025/11/28 05:20:00","10-1719","AM-271","2025/11/27","夜勤","05:20","通常時間","0",112,"カンバン有","off",3600
"2025/11/28 05:20:00","10-1719","AM-271","2025/11/27","夜勤","05:20","通常時間","0",112,"カンバン有","on",0
"2025/11/28 06:20:00","10-1719","AM-271","2025/11/27","夜勤","06:20","通常時間","0",112,"カンバン有","off",3600
"2025/11/28 06:20:00","10-1719","AM-271","2025/11/27","夜勤","06:20","通常時間","0",112,"カンバン有","on",0
"2025/11/28 07:20:00","10-1719","AM-271","2025/11/27","夜勤","07:20","通常時間","0",112,"カンバン有","off",3596.6
"2025/11/28 07:20:00","10-1719","AM-271","2025/11/27","夜勤","07:20","通常時間","0",112,"カンバン有","on",0
"2025/11/28 08:20:00","10-1719","AM-271","2025/11/27","夜勤","08:20","通常時間","0",112,"カンバン有","off",3600
"2025/11/28 08:20:00","10-1719","AM-271","2025/11/27","夜勤","08:20","通常時間","0",112,"カンバン有","on",0
