"日付","勤務日付軸","昼夜勤","ユニットコード","工程順番","機番","時間帯","№","ST","作業者","機種","背番号","シリアル番号","運転モード","IN/OUT","判定","MT","インデックス番号","ﾄﾙｸ上限値","ﾄﾙｸ下限値","ﾄﾙｸﾎｰﾙﾄﾞ値","左低圧ﾎﾞﾙﾄ圧入高さﾎｰﾙﾄﾞ","左低圧ﾎﾞﾙﾄ圧入高さ上限値","左低圧ﾎﾞﾙﾄ圧入高さ下限値","左高圧ﾎﾞﾙﾄ圧入高さﾎｰﾙﾄﾞ","左高圧ﾎﾞﾙﾄ圧入高さ上限値","左高圧ﾎﾞﾙﾄ圧入高さ下限値","右低圧ﾎﾞﾙﾄ圧入高さﾎｰﾙﾄﾞ","右低圧ﾎﾞﾙﾄ圧入高さ上限値","右低圧ﾎﾞﾙﾄ圧入高さ下限値","右高圧ﾎﾞﾙﾄ圧入高さﾎｰﾙﾄﾞ","右高圧ﾎﾞﾙﾄ圧入高さ上限値","右高圧ﾎﾞﾙﾄ圧入高さ下限値","3点ﾋﾟｯﾁ測定ﾎｰﾙﾄﾞ","3点ﾋﾟｯﾁ測定上限値","3点ﾋﾟｯﾁ測定下限値","ﾌﾟﾗｸﾞ径ﾎｰﾙﾄﾞ","ﾌﾟﾗｸﾞ径上限値","ﾌﾟﾗｸﾞ径下限値","ﾌﾟﾗｸﾞ押えﾎｰﾙﾄﾞ","ﾌﾟﾗｸﾞ押え上限値","ﾌﾟﾗｸﾞ押え下限値","割ﾋﾟﾝ孔位置ﾎｰﾙﾄﾞ","割ﾋﾟﾝ孔位置上限値","割ﾋﾟﾝ孔位置下限値","ｶｼﾒ高さﾎｰﾙﾄﾞ値","ｶｼﾒ高さ上限値","ｶｼﾒ高さ下限値","刻印振動検出回数","刻印振動回数設定","完成品ｼﾘｱﾙ№","完成品ﾜｰｸ№","完成品左低圧ﾎﾞﾙﾄ圧入高さ","完成品左高圧ﾎﾞﾙﾄ圧入高さ","完成品右低圧ﾎﾞﾙﾄ圧入高さ","完成品右高圧ﾎﾞﾙﾄ圧入高さ","完成品3点ﾋﾟｯﾁ測定","完成品ﾌﾟﾗｸﾞ径","完成品割ﾋﾟﾝ孔位置","完成品ﾄﾙｸ","完成品ｶｼﾒ高さ","完成品刻印振動検出回数"
"2025/11/27 13:03:48","2025/11/27","昼勤","10-1719",1,"AM-322","13:10",7,"7_スタッド","0",4,"T596","0","手動","Out","          ",27,250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2025/11/27 13:03:56","2025/11/27","昼勤","10-1719",1,"AM-322","13:10",11,"11_シート供給","0",4,"T596","0","手動","Out","          ",34.4,246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2025/11/27 13:04:00","2025/11/27","昼勤","10-1719",2,"AM-323","13:10",7,"7_ブーツ供給","0",3,"T572","0","手動","In","          ",0,250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2025/11/27 13:04:01","2025/11/27","昼勤","10-1719",1,"AM-322","13:10",12,"12_圧入カシメ","0",4,"T596","0","手動","In","          ",0,245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2025/11/27 13:04:03","2025/11/27","昼勤","10-1719",2,"AM-323","13:10",7,"7_ブーツ供給","0",3,"T572","0","手動","Out","          ",2.1,250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2025/11/27 13:04:03","2025/11/27","昼勤","10-1719",2,"AM-323","13:10",7,"7_ブーツ供給","0",3,"T572","0","手動","In","          ",0,250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2025/11/27 13:04:04","2025/11/27","昼勤","10-1719",1,"AM-322","13:10",12,"12_圧入カシメ","0",4,"T596","0","手動","Out","          ",2.9,245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.74,34.3,33.3,18.77,19.35,17.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2025/11/27 13:04:05","2025/11/27","昼勤","10-1719",2,"AM-323","13:10",7,"7_ブーツ供給","0",3,"T572","0","手動","Out","          ",2.1,250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2025/11/27 13:04:15","2025/11/27","昼勤","10-1719",2,"AM-323","13:10",5,"5_リップカメラ","0",3,"T572","0","手動","In","          ",0,252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2025/11/27 13:04:18","2025/11/27","昼勤","10-1719",2,"AM-323","13:10",5,"5_リップカメラ","0",3,"T572","0","手動","Out","          ",3.1,252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2025/11/27 13:04:41","2025/11/27","昼勤","10-1719",2,"AM-323","13:10",5,"5_リップカメラ","0",3,"T572","0","手動","In","          ",0,252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2025/11/27 13:04:45","2025/11/27","昼勤","10-1719",2,"AM-323","13:10",5,"5_リップカメラ","0",3,"T572","0","手動","Out","          ",3.8,252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2025/11/27 13:05:07","2025/11/27","昼勤","10-1719",2,"AM-323","13:10",5,"5_リップカメラ","0",3,"T572","0","手動","In","          ",0,252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2025/11/27 13:05:11","2025/11/27","昼勤","10-1719",2,"AM-323","13:10",5,"5_リップカメラ","0",3,"T572","0","手動","Out","          ",3.8,252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2025/11/27 13:08:35","2025/11/27","昼勤","10-1719",1,"AM-322","13:10",12,"12_圧入カシメ","0",4,"T596","0","手動","In","          ",0,245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2025/11/27 13:08:39","2025/11/27","昼勤","10-1719",1,"AM-322","13:10",12,"12_圧入カシメ","0",4,"T596","0","手動","Out","          ",4.2,245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.74,34.3,33.3,0,19.35,17.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2025/11/27 13:14:33","2025/11/27","昼勤","10-1719",1,"AM-322","14:10",1,"1_取り出し","0",2,"T576","0","自動","In","          ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2025/11/27 13:14:33","2025/11/27","昼勤","10-1719",2,"AM-323","14:10",7,"7_ブーツ供給","0",4,"T596","0","自動","In","          ",0,250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2025/11/27 13:14:45","2025/11/27","昼勤","10-1719",2,"AM-323","14:10",7,"7_ブーツ供給","0",4,"T596","0","自動","Out","          ",12.4,250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2025/11/27 13:14:45","2025/11/27","昼勤","10-1719",1,"AM-322","14:10",1,"1_取り出し","0",2,"T576","0","自動","Out","          ",12.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2025/11/27 13:19:27","2025/11/27","昼勤","10-1719",1,"AM-322","14:10",1,"1_取り出し","0",2,"T576","0","自動","In","          ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2025/11/27 13:19:27","2025/11/27","昼勤","10-1719",1,"AM-322","14:10",2,"2_コンベア","0",4,"T596","0","自動","In","          ",0,255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2025/11/27 13:19:27","2025/11/27","昼勤","10-1719",1,"AM-322","14:10",4,"4_ボルト切出","0",2,"T576","0","自動","In","          ",0,253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2025/11/27 13:19:27","2025/11/27","昼勤","10-1719",1,"AM-322","14:10",7,"7_スタッド","0",2,"T576","0","自動","In","          ",0,250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2025/11/27 13:19:27","2025/11/27","昼勤","10-1719",2,"AM-323","14:10",7,"7_ブーツ供給","0",4,"T596","0","自動","In","          ",0,250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2025/11/27 13:19:31","2025/11/27","昼勤","10-1719",1,"AM-322","14:10",2,"2_コンベア","0",4,"T596","0","自動","Out","          ",3.3,255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2025/11/27 13:19:36","2025/11/27","昼勤","10-1719",1,"AM-322","14:10",4,"4_ボルト切出","0",2,"T576","0","自動","Out","          ",8.8,253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2025/11/27 13:19:40","2025/11/27","昼勤","10-1719",1,"AM-322","14:10",2,"2_コンベア","0",2,"T576","0","自動","In","          ",0,255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2025/11/27 13:19:43","2025/11/27","昼勤","10-1719",1,"AM-322","14:10",2,"2_コンベア","0",2,"T576","0","自動","Out","          ",2.9,255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2025/11/27 13:19:45","2025/11/27","昼勤","10-1719",1,"AM-322","14:10",4,"4_ボルト切出","0",2,"T576","0","自動","In","          ",0,253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2025/11/27 13:19:45","2025/11/27","昼勤","10-1719",1,"AM-322","14:10",7,"7_スタッド","0",2,"T576","0","自動","Out","          ",18,250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2025/11/27 13:19:45","2025/11/27","昼勤","10-1719",1,"AM-322","14:10",8,"8_孔位置","0",2,"T576","0","自動","In","          ",0,249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2025/11/27 13:19:46","2025/11/27","昼勤","10-1719",1,"AM-322","14:10",7,"7_スタッド","0",2,"T576","0","自動","In","          ",0,250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2025/11/27 13:19:46","2025/11/27","昼勤","10-1719",1,"AM-322","14:10",8,"8_孔位置","0",2,"T576","0","自動","Out","OK        ",0.6,249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2025/11/27 13:19:47","2025/11/27","昼勤","10-1719",1,"AM-322","14:10",5,"5_ボルト圧入","0",2,"T576","0","自動","In","          ",0,252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2025/11/27 13:19:51","2025/11/27","昼勤","10-1719",1,"AM-322","14:10",10,"10_スタッドグリスL","0",2,"T576","0","自動","In","          ",0,247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2025/11/27 13:19:51","2025/11/27","昼勤","10-1719",1,"AM-322","14:10",7,"7_スタッド","0",2,"T576","0","自動","Out","          ",5.3,250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2025/11/27 13:19:51","2025/11/27","昼勤","10-1719",1,"AM-322","14:10",7,"7_スタッド","0",2,"T576","0","自動","In","          ",0,250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2025/11/27 13:19:53","2025/11/27","昼勤","10-1719",1,"AM-322","14:10",2,"2_コンベア","0",2,"T576","0","自動","In","          ",0,255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2025/11/27 13:19:56","2025/11/27","昼勤","10-1719",1,"AM-322","14:10",4,"4_ボルト切出","0",2,"T576","0","自動","Out","          ",10.4,253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2025/11/27 13:19:56","2025/11/27","昼勤","10-1719",1,"AM-322","14:10",2,"2_コンベア","0",2,"T576","0","自動","Out","          ",3.5,255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
