Timestamp,Machine_Name,reg_address,value
14:15:14:554,AM322,IO_0500,0000
14:15:14:557,AM322,IO_0501,0000
14:15:14:560,AM322,IO_0502,9000
14:15:14:564,AM322,IO_0503,0000
14:15:14:568,AM322,IO_0504,0000
14:15:14:576,AM322,IO_0505,0000
14:15:14:581,AM322,IO_0506,0000
14:15:14:586,AM322,IO_0507,0000
14:15:14:592,AM322,IO_0508,0000
14:15:14:599,AM322,IO_0509,0000
14:15:14:605,AM322,IO_0510,1CA2
14:15:14:611,AM322,IO_0511,0400
14:15:14:616,AM322,IO_0512,0000
14:15:14:622,AM322,IO_0513,0000
14:15:14:628,AM322,IO_0514,0000
14:15:14:637,AM322,IO_0515,0000
14:15:14:641,AM322,IO_0516,0000
14:15:14:646,AM322,IO_0517,0000
14:15:14:652,AM322,IO_0518,0000
14:15:14:658,AM322,IO_0519,0000
14:15:14:668,AM322,IO_0520,0000
14:15:14:674,AM322,IO_0521,0000
14:15:14:680,AM322,IO_0522,0000
14:15:14:685,AM322,IO_0523,0000
14:15:14:691,AM322,IO_0524,0000
14:15:14:696,AM322,IO_0525,0000
14:15:14:704,AM322,IO_0526,0000
14:15:14:709,AM322,IO_0527,0000
14:15:14:726,AM322,IO_0528,0000
14:15:14:732,AM322,IO_0529,0000
14:15:14:739,AM322,IO_0530,0000
14:15:14:745,AM322,IO_0531,0000
14:15:14:754,AM322,IO_0532,0000
14:15:14:759,AM322,IO_0533,0000
14:15:14:766,AM322,IO_0534,0000
14:15:14:772,AM322,IO_0535,0000
14:15:14:776,AM322,IO_0536,0000
14:15:14:782,AM322,IO_0537,0000
14:15:14:789,AM322,IO_0538,0000
14:15:14:796,AM322,IO_0539,0000
14:15:14:803,AM322,IO_0540,0000
14:15:14:813,AM322,IO_0541,0000
14:15:14:822,AM322,IO_0542,0000
14:15:14:827,AM322,IO_0543,0000
14:15:14:830,AM322,IO_0544,0000
14:15:14:834,AM322,IO_0545,0000
14:15:14:837,AM322,IO_0546,0000
14:15:14:839,AM322,IO_0547,0000
14:15:14:842,AM322,IO_0548,0000
14:15:14:849,AM322,IO_0549,0000
14:15:14:852,AM322,IO_0550,0000
14:15:14:855,AM322,IO_0551,0000
14:15:14:860,AM322,IO_0552,0000
14:15:14:864,AM322,IO_0553,0000
14:15:14:867,AM322,IO_0554,0000
14:15:14:870,AM322,IO_0555,0000
14:15:14:873,AM322,IO_0556,0000
14:15:14:876,AM322,IO_0557,0000
14:15:14:879,AM322,IO_0558,0000
14:15:14:881,AM322,IO_0559,0000
14:15:14:885,AM322,IO_0560,0000
14:15:14:888,AM322,IO_0561,0000
14:15:14:891,AM322,IO_0562,0000
14:15:14:893,AM322,IO_0563,0000
14:15:14:896,AM322,IO_0564,0000
14:15:14:899,AM322,IO_0565,0000
14:15:14:902,AM322,IO_0566,0000
14:15:14:908,AM322,IO_0567,0000
14:15:14:911,AM322,IO_0568,0000
14:15:14:914,AM322,IO_0569,0000
14:15:14:917,AM322,IO_0570,0000
14:15:14:920,AM322,IO_0571,0000
14:15:14:922,AM322,IO_0572,0000
14:15:14:925,AM322,IO_0573,0000
14:15:14:928,AM322,IO_0574,0000
14:15:14:931,AM322,IO_0575,0000
14:15:14:934,AM322,IO_0576,0000
14:15:14:936,AM322,IO_0577,0000
14:15:14:939,AM322,IO_0578,0000
14:15:14:942,AM322,IO_0579,0000
14:15:14:946,AM322,IO_0580,0000
14:15:14:949,AM322,IO_0581,0000
14:15:14:952,AM322,IO_0582,0000
14:15:14:955,AM322,IO_0583,0000
14:15:14:958,AM322,IO_0584,0000
14:15:14:961,AM322,IO_0585,0000
14:15:14:963,AM322,IO_0586,0000
14:15:14:966,AM322,IO_0587,0000
14:15:14:969,AM322,IO_0588,0000
14:15:14:971,AM322,IO_0589,0000
14:15:14:974,AM322,IO_0590,0000
14:15:14:977,AM322,IO_0591,0000
14:15:14:980,AM322,IO_0592,0000
14:15:14:982,AM322,IO_0593,0000
14:15:14:985,AM322,IO_0594,0000
14:15:14:988,AM322,IO_0595,0000
14:15:14:997,AM322,IO_0596,0000
14:15:15:004,AM322,IO_0597,0001
14:15:15:007,AM322,IO_0598,0000
14:15:15:010,AM322,D_31600,0000
14:15:15:014,AM322,D_31601,0144
14:15:15:017,AM322,D_31602,016A
14:15:15:034,AM322,D_31603,01CC
14:15:15:044,AM322,D_31604,00A0
14:15:15:047,AM322,D_31605,0000
14:15:15:050,AM322,D_31606,0046
14:15:15:054,AM322,D_31607,FFD8
14:15:15:060,AM322,D_31608,0000
14:15:15:063,AM322,D_31609,01B8
14:15:15:068,AM322,D_31610,008C
14:15:15:072,AM322,D_31611,0000
14:15:15:076,AM322,D_31612,0032
14:15:15:084,AM322,D_31613,FFC4
14:15:15:088,AM322,D_31614,00FD
14:15:15:092,AM322,D_31615,0107
14:15:15:100,AM322,D_31616,00F3
14:15:15:104,AM322,D_31617,0D39
14:15:15:108,AM322,D_31618,0D66
14:15:15:112,AM322,D_31619,0D02
14:15:15:120,AM322,D_31620,0000
14:15:15:125,AM322,D_31621,078F
14:15:15:132,AM322,D_31622,06C2
14:15:15:136,AM322,D_31623,0000
14:15:15:140,AM322,D_31624,0000
14:15:15:148,AM322,D_31625,0000
14:15:15:152,AM322,D_31626,0000
14:15:15:156,AM322,D_31627,0000
14:15:15:160,AM322,D_31628,0000
14:15:15:168,AM322,D_31629,0000
14:15:15:172,AM322,D_31630,0000
14:15:15:176,AM322,D_31631,0000
14:15:15:180,AM322,D_31632,0000
14:15:15:188,AM322,D_31633,0000
14:15:15:192,AM322,D_31634,0000
14:15:15:196,AM322,D_31635,0000
14:15:15:200,AM322,D_31636,0000
14:15:15:208,AM322,D_31637,0000
14:15:15:212,AM322,D_31638,0000
14:15:15:215,AM322,D_31639,0000
14:15:15:218,AM322,D_31640,0000
14:15:15:222,AM322,D_31641,0000
14:15:15:226,AM322,D_31642,0000
14:15:15:228,AM322,D_31643,0000
14:15:15:231,AM322,D_31644,0000
